;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
DELITOS O FALTAS;;;;;;;;;;;;;;;;;;;;;
Delitos contra la vida o integridad de las personas;15.517;18.293;21.581;26.000;28.368;29.300;32.394;29.405;26.609;24.983;24.228;22.800;22.898;23.683;26.559;23.887;23.784;28.322;28.826;27.755;7.227
Robos violentos;7.456;7.211;7.869;8.812;9.647;9.071;9.958;8.578;8.583;10.402;10.248;10.299;9.500;9.256;9.246;6.769;4.712;8.325;9.330;9.250;2.160
Violencia intrafamiliar;9.651;9.965;12.059;14.106;15.607;15.236;16.972;15.305;14.326;13.205;12.434;11.639;11.403;11.278;11.968;11.350;14.380;14.154;13.692;13.338;3.563
Delitos asociados a drogas;464;724;828;1.602;2.185;1.910;1.933;1.992;1.826;1.790;1.955;1.903;2.063;2.357;2.397;2.118;2.224;2.209;2.313;1.910;556
Delitos asociados a armas;476;556;677;1.376;1.987;834;993;1.053;1.303;1.715;1.642;1.807;2.241;2.092;1.508;875;905;1.461;1.661;3.393;579
Delitos contra la propiedad no violentos;38.843;37.512;40.698;42.149;47.258;47.231;51.201;47.634;46.751;47.338;46.046;45.008;44.943;43.703;42.036;27.804;21.557;35.835;39.106;38.046;9.904
Incivilidades;25.960;26.653;29.270;39.098;47.843;51.958;59.788;58.717;51.443;44.744;47.229;48.634;51.135;55.446;60.847;38.930;39.528;32.392;30.473;30.905;10.116
Otros delitos o faltas;27.737;28.052;31.640;34.992;41.314;41.728;47.614;48.885;46.767;46.796;49.725;54.925;55.659;61.996;65.543;73.024;64.869;60.212;61.058;77.843;23.872
