;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
DELITOS O FALTAS;;;;;;;;;;;;;;;;;;;;;
Delitos contra la vida o integridad de las personas;6.130;6.180;6.699;8.627;9.819;10.193;11.675;11.856;10.910;10.053;9.196;8.365;8.058;8.119;8.684;7.436;8.247;9.697;10.124;9.623;2.214
Robos violentos;1.442;1.445;1.698;2.666;2.942;3.170;3.416;3.153;3.307;3.802;3.592;3.098;3.114;3.172;2.949;2.552;2.247;4.112;3.974;3.552;719
Violencia intrafamiliar;2.288;2.668;3.521;4.281;5.035;5.269;6.066;5.558;5.282;4.920;4.523;4.192;4.318;4.100;4.356;4.274;5.598;5.958;5.841;5.742;1.447
Delitos asociados a drogas;214;256;318;479;668;827;796;1.262;739;742;624;653;760;703;810;711;899;823;786;748;172
Delitos asociados a armas;420;436;451;951;790;590;676;850;709;917;1.100;953;808;824;603;354;495;707;954;1.206;149
Delitos contra la propiedad no violentos;11.948;11.093;11.160;14.753;18.447;20.249;20.285;19.778;18.521;18.871;18.650;16.704;16.636;15.576;15.909;10.617;10.038;14.099;14.149;12.728;3.187
Incivilidades;22.924;18.979;12.630;12.269;13.104;16.769;24.692;26.879;27.670;27.022;22.758;19.556;19.675;19.021;23.845;12.845;13.129;12.020;12.597;12.610;3.120
Otros delitos o faltas;11.522;11.412;12.306;14.146;17.020;18.080;19.789;21.384;21.975;21.758;22.393;22.912;22.095;23.147;25.934;30.386;24.744;22.009;22.790;26.458;7.282
