;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
DELITOS O FALTAS;;;;;;;;;;;;;;;;;;;;;
Delitos contra la vida o integridad de las personas;56.848;64.025;83.183;103.842;104.532;102.511;113.114;105.092;98.220;91.414;85.394;80.409;82.337;86.247;94.950;76.087;80.877;92.478;96.958;97.205;23.807
Robos violentos;44.515;47.887;56.718;50.832;50.641;45.191;51.385;46.486;55.367;62.448;64.077;60.612;65.191;69.628;73.999;59.516;43.982;70.436;77.594;83.701;20.116
Violencia intrafamiliar;34.393;35.156;41.496;46.442;48.150;46.014;54.088;51.278;49.603;46.417;44.021;41.674;42.061;42.395;45.756;39.086;48.886;46.781;45.955;46.769;12.177
Delitos asociados a drogas;1.835;2.477;3.738;6.152;6.417;7.784;6.985;6.648;4.152;4.094;4.539;4.481;4.563;4.757;4.733;4.018;4.287;3.981;4.479;4.425;1.330
Delitos asociados a armas;2.813;3.112;5.676;16.005;12.140;4.639;4.457;4.550;4.149;4.883;5.947;7.040;6.774;6.962;4.866;3.042;3.301;4.720;5.301;9.258;1.614
Delitos contra la propiedad no violentos;135.862;138.393;152.269;154.156;167.450;171.379;189.104;174.471;176.531;181.217;176.825;161.006;160.535;154.926;155.388;95.564;87.973;121.466;121.912;123.681;30.597
Incivilidades;107.061;102.883;112.871;145.578;163.935;184.811;190.737;173.036;150.344;158.040;157.181;154.713;176.983;168.940;128.532;68.368;80.161;79.109;79.784;79.157;17.695
Otros delitos o faltas;112.389;119.654;133.400;139.353;145.335;143.396;166.674;173.914;163.726;166.474;182.106;198.896;197.746;213.161;229.302;211.218;191.598;174.664;195.049;265.856;81.094
